Stock Name,Price,Country,Sector,Market Cap,Debt Status,Last 6 Months Return (%),Last 1 Year Return (%)
Stock_2241,3387.44,India,Healthcare,Small Cap,Debt Free,4.36,9.31
Stock_2242,305.36,USA,Healthcare,Small Cap,Debt,13.88,5.47
Stock_2243,1514.07,USA,Consumer Goods,Large Cap,Debt,-19.57,96.58
Stock_2244,4335.36,USA,Technology,Small Cap,Debt Free,6.68,36.26
Stock_2245,2104.78,China,Healthcare,Large Cap,Debt Free,47.91,46.43
Stock_2246,3440.65,Japan,Consumer Goods,Mid Cap,Debt,-8.62,-42.03
Stock_2247,2267.58,India,Consumer Goods,Mid Cap,Debt Free,16.09,-32.89
Stock_2248,2303.25,USA,Consumer Goods,Mid Cap,Debt,17.97,90.62
Stock_2249,892.26,India,Healthcare,Large Cap,Debt Free,1.64,63.6
Stock_2250,1226.56,India,Finance,Mid Cap,Debt Free,-8.66,-16.66
Stock_2251,3593.97,USA,Technology,Small Cap,Debt,22.53,99.94
Stock_2252,790.0,USA,Technology,Large Cap,Debt,4.88,9.39
Stock_2253,1352.21,China,Healthcare,Mid Cap,Debt Free,33.28,68.34
Stock_2254,1537.13,USA,Healthcare,Large Cap,Debt,46.04,28.25
Stock_2255,2369.93,USA,Technology,Mid Cap,Debt,-23.66,46.09
Stock_2256,1894.23,India,Energy,Mid Cap,Debt Free,31.85,99.09
Stock_2257,4848.13,Japan,Energy,Small Cap,Debt,9.6,-24.6
Stock_2258,4014.56,Japan,Technology,Large Cap,Debt,-10.89,91.66
Stock_2259,3284.82,India,Energy,Large Cap,Debt,9.23,-33.36
Stock_2260,1645.99,India,Consumer Goods,Small Cap,Debt,-1.64,95.29
Stock_2261,2339.67,China,Technology,Small Cap,Debt,3.55,58.1
Stock_2262,170.9,USA,Finance,Mid Cap,Debt,8.75,52.17
Stock_2263,1592.93,India,Consumer Goods,Large Cap,Debt Free,12.82,-44.24
Stock_2264,1550.46,USA,Technology,Mid Cap,Debt,43.72,65.2
Stock_2265,4168.98,China,Technology,Mid Cap,Debt Free,-7.9,11.25
Stock_2266,2852.55,Japan,Healthcare,Small Cap,Debt Free,24.27,28.36
Stock_2267,1671.44,China,Healthcare,Small Cap,Debt,1.23,-5.05
Stock_2268,3395.51,India,Finance,Small Cap,Debt Free,49.05,35.29
Stock_2269,1872.41,Japan,Energy,Mid Cap,Debt,-12.64,12.8
Stock_2270,234.59,USA,Consumer Goods,Small Cap,Debt,-8.25,56.57
Stock_2271,1235.77,China,Consumer Goods,Mid Cap,Debt,-20.65,51.99
Stock_2272,3361.19,China,Technology,Small Cap,Debt,8.94,24.37
Stock_2273,4414.71,Japan,Energy,Mid Cap,Debt,3.47,-41.76
Stock_2274,237.96,India,Finance,Mid Cap,Debt,16.06,77.34
Stock_2275,1804.53,India,Finance,Large Cap,Debt,-13.65,94.01
Stock_2276,3048.62,USA,Healthcare,Mid Cap,Debt,4.81,-13.69
Stock_2277,1974.39,China,Healthcare,Mid Cap,Debt Free,6.87,36.28
Stock_2278,2380.69,USA,Consumer Goods,Large Cap,Debt,24.75,55.74
Stock_2279,938.21,China,Healthcare,Large Cap,Debt,-27.24,25.63
Stock_2280,4541.01,India,Technology,Large Cap,Debt,-15.01,-47.98
Stock_2281,1812.08,India,Consumer Goods,Large Cap,Debt,-25.5,-31.95
Stock_2282,3190.26,USA,Technology,Small Cap,Debt,38.54,58.14
Stock_2283,1171.05,China,Consumer Goods,Mid Cap,Debt Free,29.79,20.2
Stock_2284,1176.97,USA,Consumer Goods,Mid Cap,Debt,15.4,-3.01
Stock_2285,4655.87,China,Energy,Mid Cap,Debt,17.27,39.4
Stock_2286,1880.05,India,Technology,Mid Cap,Debt,44.68,-49.13
Stock_2287,4734.11,India,Healthcare,Large Cap,Debt,2.41,88.44
Stock_2288,496.36,USA,Consumer Goods,Mid Cap,Debt,29.95,-6.36
Stock_2289,4843.52,USA,Healthcare,Large Cap,Debt,-27.42,14.17
Stock_2290,495.65,USA,Technology,Mid Cap,Debt Free,-19.83,0.86
Stock_2291,4733.05,Japan,Consumer Goods,Large Cap,Debt,37.86,73.7
Stock_2292,708.28,India,Energy,Large Cap,Debt,23.03,-48.26
Stock_2293,4167.77,China,Consumer Goods,Small Cap,Debt Free,38.88,85.7
Stock_2294,1569.75,India,Technology,Large Cap,Debt,-3.77,-13.71
Stock_2295,229.72,China,Finance,Mid Cap,Debt,8.91,-42.94
Stock_2296,1052.36,USA,Energy,Large Cap,Debt Free,39.24,-11.55
Stock_2297,976.93,Japan,Healthcare,Large Cap,Debt Free,7.46,-20.07
Stock_2298,4446.3,India,Consumer Goods,Large Cap,Debt Free,36.26,-3.37
Stock_2299,2680.46,India,Healthcare,Large Cap,Debt,20.67,18.2
Stock_2300,4052.82,Japan,Technology,Large Cap,Debt,-14.15,-2.82
Stock_2301,4717.45,Japan,Technology,Large Cap,Debt Free,42.65,95.69
Stock_2302,2537.73,India,Finance,Mid Cap,Debt,12.22,59.07
Stock_2303,4434.99,China,Energy,Mid Cap,Debt,16.26,-35.67
Stock_2304,3101.98,India,Healthcare,Large Cap,Debt,25.79,66.92
Stock_2305,2183.61,Japan,Consumer Goods,Small Cap,Debt,9.05,51.93
Stock_2306,1285.28,India,Finance,Mid Cap,Debt,-20.99,57.71
Stock_2307,2194.09,USA,Healthcare,Small Cap,Debt,26.59,73.17
Stock_2308,3513.46,India,Consumer Goods,Large Cap,Debt,14.35,28.6
Stock_2309,2936.85,Japan,Healthcare,Small Cap,Debt,-3.41,-25.42
Stock_2310,2360.72,India,Healthcare,Large Cap,Debt,13.56,11.02
Stock_2311,1212.99,Japan,Finance,Mid Cap,Debt,33.77,19.16
Stock_2312,2873.27,Japan,Technology,Large Cap,Debt Free,31.44,66.86
Stock_2313,63.8,China,Energy,Large Cap,Debt Free,26.62,62.06
Stock_2314,2457.09,Japan,Healthcare,Small Cap,Debt,-9.6,-47.5
Stock_2315,4025.03,USA,Technology,Mid Cap,Debt,8.88,11.55
Stock_2316,1588.18,India,Finance,Mid Cap,Debt,2.76,29.68
Stock_2317,1140.39,Japan,Healthcare,Small Cap,Debt Free,7.36,-47.26
Stock_2318,1032.36,China,Consumer Goods,Large Cap,Debt,2.72,84.9
Stock_2319,4321.54,India,Technology,Mid Cap,Debt,23.47,-35.24
Stock_2320,1723.22,India,Healthcare,Mid Cap,Debt,45.01,57.59
Stock_2321,890.84,USA,Energy,Mid Cap,Debt,-6.52,63.48
Stock_2322,285.77,Japan,Consumer Goods,Small Cap,Debt Free,44.4,-6.58
Stock_2323,3208.77,India,Consumer Goods,Large Cap,Debt,18.8,-45.44
Stock_2324,575.99,China,Finance,Large Cap,Debt,-25.99,64.36
Stock_2325,2733.02,India,Energy,Mid Cap,Debt,-27.06,-25.95
Stock_2326,4711.48,USA,Consumer Goods,Small Cap,Debt,1.39,31.66
Stock_2327,4287.81,China,Consumer Goods,Mid Cap,Debt,-27.01,48.78
Stock_2328,4319.09,Japan,Technology,Small Cap,Debt,44.14,76.58
Stock_2329,810.36,India,Healthcare,Mid Cap,Debt,30.86,92.13
Stock_2330,3279.85,China,Healthcare,Large Cap,Debt,10.07,54.08
Stock_2331,2744.04,India,Technology,Large Cap,Debt,2.61,23.88
Stock_2332,4807.23,Japan,Consumer Goods,Large Cap,Debt Free,43.8,-16.62
Stock_2333,4973.82,USA,Energy,Mid Cap,Debt,-16.04,-16.95
Stock_2334,541.27,India,Consumer Goods,Large Cap,Debt,-2.88,12.63
Stock_2335,4203.74,China,Technology,Large Cap,Debt,27.61,62.81
Stock_2336,3550.69,China,Consumer Goods,Small Cap,Debt,36.26,37.42
Stock_2337,3813.23,USA,Healthcare,Large Cap,Debt,3.56,82.83
Stock_2338,2241.78,India,Technology,Mid Cap,Debt Free,23.58,-30.67
Stock_2339,248.1,Japan,Consumer Goods,Small Cap,Debt,-20.04,97.8
Stock_2340,4416.91,China,Consumer Goods,Mid Cap,Debt,-3.18,-14.49
Stock_2341,3444.43,USA,Technology,Mid Cap,Debt,-28.82,23.72
Stock_2342,3179.22,Japan,Technology,Mid Cap,Debt,20.73,33.04
Stock_2343,4137.04,USA,Technology,Mid Cap,Debt,1.3,-35.29
Stock_2344,1653.08,China,Technology,Small Cap,Debt,37.6,87.37
Stock_2345,3042.27,China,Consumer Goods,Mid Cap,Debt,2.94,87.76
Stock_2346,983.12,China,Finance,Small Cap,Debt,-2.69,28.49
Stock_2347,4417.48,USA,Technology,Large Cap,Debt Free,-24.25,3.09
Stock_2348,3113.7,India,Consumer Goods,Mid Cap,Debt,12.18,72.93
Stock_2349,73.68,USA,Healthcare,Mid Cap,Debt,29.86,88.15
Stock_2350,3751.98,India,Technology,Small Cap,Debt Free,34.84,40.26
Stock_2351,3972.61,USA,Healthcare,Small Cap,Debt,40.39,91.4
Stock_2352,1154.59,USA,Consumer Goods,Large Cap,Debt,21.63,58.71
Stock_2353,4112.21,India,Finance,Large Cap,Debt,-17.82,47.75
Stock_2354,1611.44,Japan,Technology,Small Cap,Debt Free,21.58,-5.35
Stock_2355,938.31,USA,Consumer Goods,Mid Cap,Debt Free,36.93,-31.69
Stock_2356,4955.4,India,Finance,Small Cap,Debt,-10.77,-27.86
Stock_2357,2226.64,Japan,Energy,Large Cap,Debt Free,9.88,8.71
Stock_2358,2886.64,Japan,Consumer Goods,Large Cap,Debt,27.05,0.67
Stock_2359,4193.78,USA,Consumer Goods,Small Cap,Debt,9.39,-10.73
Stock_2360,4375.48,India,Finance,Small Cap,Debt,-12.22,15.46
Stock_2361,2443.14,Japan,Energy,Mid Cap,Debt Free,8.05,47.61
Stock_2362,2401.19,India,Energy,Mid Cap,Debt Free,-28.52,-47.64
Stock_2363,3083.91,India,Technology,Small Cap,Debt Free,-22.78,-14.23
Stock_2364,246.93,China,Finance,Large Cap,Debt,9.95,-20.36
Stock_2365,426.3,India,Technology,Large Cap,Debt,19.31,98.33
Stock_2366,3707.51,China,Consumer Goods,Small Cap,Debt,10.72,1.99
Stock_2367,3344.36,USA,Healthcare,Large Cap,Debt,-7.64,-25.32
Stock_2368,4612.22,India,Consumer Goods,Mid Cap,Debt,-12.71,8.22
Stock_2369,3920.79,India,Consumer Goods,Mid Cap,Debt,33.34,43.02
Stock_2370,1321.62,India,Consumer Goods,Small Cap,Debt,41.08,16.67
Stock_2371,4953.89,Japan,Technology,Mid Cap,Debt Free,-9.63,77.23
Stock_2372,143.46,China,Finance,Mid Cap,Debt,11.43,-12.61
Stock_2373,2173.19,Japan,Technology,Small Cap,Debt,44.48,-32.42
Stock_2374,2480.98,Japan,Finance,Mid Cap,Debt,-23.05,40.21
Stock_2375,728.51,India,Finance,Mid Cap,Debt Free,26.43,-7.04
Stock_2376,1210.15,India,Healthcare,Mid Cap,Debt,9.26,-13.72
Stock_2377,3451.24,USA,Healthcare,Mid Cap,Debt,8.11,16.82
Stock_2378,2599.58,India,Finance,Mid Cap,Debt,-16.6,-40.67
Stock_2379,2656.09,India,Technology,Large Cap,Debt,-21.96,46.15
Stock_2380,2096.0,India,Healthcare,Small Cap,Debt Free,-12.17,27.41
Stock_2381,3108.85,Japan,Finance,Mid Cap,Debt,4.67,60.79
Stock_2382,1172.79,China,Finance,Small Cap,Debt,30.64,69.87
Stock_2383,476.43,USA,Consumer Goods,Mid Cap,Debt,16.51,-17.86
Stock_2384,2702.96,USA,Energy,Mid Cap,Debt,27.25,54.92
Stock_2385,644.11,China,Consumer Goods,Mid Cap,Debt,33.43,14.01
Stock_2386,1836.79,India,Technology,Mid Cap,Debt,-16.58,15.46
Stock_2387,2079.65,Japan,Healthcare,Mid Cap,Debt,15.88,87.39
Stock_2388,4735.36,Japan,Consumer Goods,Large Cap,Debt Free,8.07,78.16
Stock_2389,1516.91,India,Technology,Small Cap,Debt,-25.63,11.55
Stock_2390,582.62,India,Technology,Large Cap,Debt,-6.49,7.86
Stock_2391,1707.6,USA,Technology,Mid Cap,Debt,-3.85,-10.47
Stock_2392,155.82,USA,Technology,Mid Cap,Debt,1.6,-35.77
Stock_2393,4586.95,India,Finance,Small Cap,Debt Free,-11.13,69.45
Stock_2394,653.15,India,Consumer Goods,Mid Cap,Debt Free,40.33,-28.33
Stock_2395,4584.27,China,Finance,Mid Cap,Debt Free,-22.57,49.9
Stock_2396,4709.49,India,Healthcare,Mid Cap,Debt,16.7,-49.05
Stock_2397,2751.07,China,Technology,Mid Cap,Debt,33.14,10.57
Stock_2398,1364.27,India,Technology,Small Cap,Debt,-4.82,40.19
Stock_2399,2459.43,China,Consumer Goods,Small Cap,Debt,-20.32,66.4
Stock_2400,609.2,USA,Healthcare,Small Cap,Debt,-18.62,12.98
Stock_2401,1671.37,Japan,Healthcare,Mid Cap,Debt,-26.9,-23.09
Stock_2402,4841.78,India,Consumer Goods,Large Cap,Debt,-3.49,-33.8
Stock_2403,223.0,Japan,Finance,Large Cap,Debt,-3.14,-29.0
Stock_2404,1999.48,China,Technology,Large Cap,Debt Free,29.63,-30.61
Stock_2405,3437.86,China,Technology,Large Cap,Debt Free,35.29,-31.34
Stock_2406,4344.38,Japan,Consumer Goods,Mid Cap,Debt,17.49,48.53
Stock_2407,3465.2,India,Technology,Mid Cap,Debt,23.52,40.83
Stock_2408,1975.74,China,Healthcare,Large Cap,Debt,-18.33,-12.06
Stock_2409,4689.32,Japan,Technology,Large Cap,Debt,32.26,-36.08
Stock_2410,3192.36,USA,Technology,Large Cap,Debt Free,24.38,42.84
Stock_2411,2458.56,India,Technology,Large Cap,Debt Free,9.57,55.53
Stock_2412,1983.35,India,Consumer Goods,Large Cap,Debt Free,18.37,48.5
Stock_2413,3564.65,China,Energy,Small Cap,Debt,27.33,-8.8
Stock_2414,2147.49,Japan,Technology,Large Cap,Debt Free,13.89,-7.38
Stock_2415,1430.64,Japan,Technology,Large Cap,Debt Free,-5.65,26.15
Stock_2416,4197.6,USA,Consumer Goods,Small Cap,Debt,-22.67,38.26
Stock_2417,258.22,India,Finance,Small Cap,Debt,8.99,43.97
Stock_2418,4874.23,China,Energy,Large Cap,Debt Free,38.59,-18.49
Stock_2419,725.0,India,Consumer Goods,Mid Cap,Debt,29.59,8.16
Stock_2420,4229.49,China,Healthcare,Mid Cap,Debt,-21.61,81.29
Stock_2421,3248.35,India,Technology,Mid Cap,Debt,17.02,-29.49
Stock_2422,635.88,India,Consumer Goods,Large Cap,Debt,17.28,15.55
Stock_2423,2160.09,USA,Healthcare,Small Cap,Debt,45.58,5.9
Stock_2424,3647.24,China,Healthcare,Small Cap,Debt,23.85,4.07
Stock_2425,248.63,India,Healthcare,Mid Cap,Debt,18.17,7.85
Stock_2426,2607.92,India,Consumer Goods,Large Cap,Debt,-7.34,68.25
Stock_2427,1370.9,India,Energy,Large Cap,Debt,27.1,27.54
Stock_2428,2158.41,USA,Consumer Goods,Small Cap,Debt,31.37,2.78
Stock_2429,3593.67,India,Healthcare,Small Cap,Debt,12.82,56.34
Stock_2430,2987.75,China,Technology,Mid Cap,Debt,34.03,97.05
Stock_2431,3860.84,India,Energy,Large Cap,Debt,-8.99,-3.28
Stock_2432,2122.24,India,Technology,Large Cap,Debt,-22.69,-16.13
Stock_2433,3480.62,Japan,Healthcare,Small Cap,Debt,21.51,-41.78
Stock_2434,2791.09,USA,Healthcare,Mid Cap,Debt,36.42,94.26
Stock_2435,155.55,Japan,Healthcare,Mid Cap,Debt Free,45.76,15.37
Stock_2436,4436.13,India,Technology,Mid Cap,Debt,-8.41,41.47
Stock_2437,4698.19,India,Technology,Small Cap,Debt Free,-22.12,41.5
Stock_2438,3808.24,USA,Technology,Mid Cap,Debt,40.05,-2.03
Stock_2439,1421.39,Japan,Healthcare,Mid Cap,Debt Free,12.88,-31.0
Stock_2440,655.33,India,Technology,Mid Cap,Debt,-4.3,-5.54
Stock_2441,247.17,China,Healthcare,Large Cap,Debt,26.99,75.62
Stock_2442,1746.43,USA,Technology,Large Cap,Debt,24.08,47.32
Stock_2443,1358.51,USA,Healthcare,Large Cap,Debt,45.76,-6.64
Stock_2444,4113.71,USA,Healthcare,Small Cap,Debt,24.05,54.94
Stock_2445,445.37,India,Finance,Small Cap,Debt,34.54,77.42
Stock_2446,3653.19,Japan,Consumer Goods,Mid Cap,Debt,8.13,7.75
Stock_2447,530.82,India,Consumer Goods,Mid Cap,Debt,34.24,0.43
Stock_2448,2566.29,USA,Healthcare,Mid Cap,Debt Free,43.3,83.97
Stock_2449,3412.87,Japan,Technology,Small Cap,Debt Free,46.32,67.87
Stock_2450,2468.69,India,Finance,Large Cap,Debt,-3.69,75.52
Stock_2451,2427.46,India,Healthcare,Large Cap,Debt Free,-19.38,-41.67
Stock_2452,216.45,India,Finance,Mid Cap,Debt,20.8,93.71
Stock_2453,3598.21,USA,Healthcare,Small Cap,Debt,25.12,65.26
Stock_2454,1226.19,India,Finance,Mid Cap,Debt,-16.87,74.06
Stock_2455,3090.29,China,Finance,Mid Cap,Debt,-15.97,83.11
Stock_2456,2649.37,India,Consumer Goods,Mid Cap,Debt Free,48.08,22.17
Stock_2457,1798.19,India,Energy,Large Cap,Debt,-1.46,-48.64
Stock_2458,1853.63,Japan,Healthcare,Mid Cap,Debt,15.67,40.92
Stock_2459,3205.95,India,Healthcare,Large Cap,Debt,2.05,-41.17
Stock_2460,2726.49,Japan,Finance,Mid Cap,Debt,-14.52,-21.92
Stock_2461,2848.41,Japan,Finance,Mid Cap,Debt,10.92,11.24
Stock_2462,295.71,Japan,Consumer Goods,Large Cap,Debt Free,-4.09,51.54
Stock_2463,1449.94,India,Healthcare,Mid Cap,Debt,27.3,-20.64
Stock_2464,624.03,USA,Finance,Small Cap,Debt,30.67,98.68
Stock_2465,4439.35,China,Consumer Goods,Mid Cap,Debt,-27.35,-5.67
Stock_2466,2154.96,Japan,Finance,Mid Cap,Debt Free,-8.13,-5.88
Stock_2467,3332.84,China,Energy,Mid Cap,Debt,-23.13,-27.06
Stock_2468,4926.71,India,Energy,Mid Cap,Debt Free,38.88,44.73
Stock_2469,4741.8,India,Consumer Goods,Mid Cap,Debt,30.85,-11.81
Stock_2470,3160.12,Japan,Consumer Goods,Small Cap,Debt Free,-27.8,-43.08
Stock_2471,832.53,India,Consumer Goods,Mid Cap,Debt Free,-25.14,11.08
Stock_2472,4815.65,Japan,Technology,Mid Cap,Debt,6.02,83.83
Stock_2473,240.62,USA,Energy,Mid Cap,Debt,-24.62,-46.12
Stock_2474,2084.0,USA,Consumer Goods,Mid Cap,Debt Free,10.31,-9.06
Stock_2475,2321.26,China,Technology,Large Cap,Debt,8.27,21.72
Stock_2476,90.03,India,Technology,Small Cap,Debt,44.23,22.47
Stock_2477,4560.05,Japan,Healthcare,Mid Cap,Debt,42.82,35.54
Stock_2478,4589.59,India,Healthcare,Small Cap,Debt,-10.01,84.84
Stock_2479,4457.28,India,Technology,Mid Cap,Debt,0.36,0.61
Stock_2480,2038.69,USA,Consumer Goods,Mid Cap,Debt,-10.08,75.0
Stock_2481,546.81,Japan,Healthcare,Mid Cap,Debt,-23.49,-49.98
Stock_2482,4211.02,China,Consumer Goods,Large Cap,Debt Free,-3.37,-22.88
Stock_2483,2205.83,USA,Finance,Large Cap,Debt Free,41.45,5.02
Stock_2484,392.03,India,Technology,Mid Cap,Debt,31.97,85.27
Stock_2485,578.15,India,Consumer Goods,Large Cap,Debt,-17.9,93.34
Stock_2486,2918.1,India,Finance,Small Cap,Debt,41.44,51.29
Stock_2487,2389.52,India,Consumer Goods,Mid Cap,Debt Free,-7.6,-33.97
Stock_2488,3028.27,India,Technology,Mid Cap,Debt,27.05,-37.38
Stock_2489,3707.24,India,Finance,Large Cap,Debt,10.35,-17.85
Stock_2490,1781.05,India,Energy,Mid Cap,Debt,9.32,45.12
Stock_2491,2047.16,India,Technology,Mid Cap,Debt Free,16.93,-41.51
Stock_2492,4039.85,Japan,Healthcare,Mid Cap,Debt,17.46,-16.86
Stock_2493,2747.95,India,Consumer Goods,Large Cap,Debt,20.78,-28.86
Stock_2494,4156.02,USA,Energy,Small Cap,Debt Free,44.43,12.19
Stock_2495,3432.11,USA,Consumer Goods,Small Cap,Debt,-18.72,92.51
Stock_2496,3018.7,China,Technology,Small Cap,Debt,16.52,64.47
Stock_2497,1629.86,USA,Consumer Goods,Mid Cap,Debt Free,-9.15,52.11
Stock_2498,340.96,USA,Technology,Mid Cap,Debt Free,-3.84,97.4
Stock_2499,1834.12,India,Healthcare,Mid Cap,Debt,18.54,81.32
Stock_2500,161.6,USA,Technology,Small Cap,Debt,30.03,-45.68
Stock_2501,3754.64,China,Healthcare,Mid Cap,Debt Free,25.0,13.81
Stock_2502,4715.64,Japan,Energy,Large Cap,Debt,16.95,77.68
Stock_2503,878.06,USA,Finance,Small Cap,Debt,28.73,19.22
Stock_2504,3451.58,USA,Consumer Goods,Large Cap,Debt,39.56,-2.47
Stock_2505,4479.25,India,Energy,Mid Cap,Debt Free,14.4,55.33
Stock_2506,4483.22,Japan,Consumer Goods,Mid Cap,Debt,34.73,65.74
Stock_2507,3320.41,China,Technology,Large Cap,Debt Free,-15.15,49.86
Stock_2508,499.7,India,Healthcare,Mid Cap,Debt,13.91,-3.93
Stock_2509,595.26,China,Consumer Goods,Large Cap,Debt,41.59,-12.82
Stock_2510,2986.27,India,Consumer Goods,Mid Cap,Debt,-10.53,68.91
Stock_2511,1707.9,USA,Consumer Goods,Mid Cap,Debt Free,11.49,61.54
Stock_2512,737.29,India,Consumer Goods,Mid Cap,Debt Free,12.06,81.59
Stock_2513,350.63,Japan,Energy,Small Cap,Debt,11.99,75.02
Stock_2514,1964.42,Japan,Technology,Mid Cap,Debt Free,-26.07,33.59
Stock_2515,2231.07,Japan,Energy,Mid Cap,Debt Free,4.29,-36.23
Stock_2516,4866.26,India,Healthcare,Small Cap,Debt Free,-28.51,-35.39
Stock_2517,4191.47,India,Technology,Large Cap,Debt,-8.22,91.71
Stock_2518,282.85,India,Energy,Mid Cap,Debt,-9.09,64.79
Stock_2519,779.91,India,Consumer Goods,Mid Cap,Debt,39.4,68.82
Stock_2520,4192.71,Japan,Technology,Large Cap,Debt,43.07,-7.56
Stock_2521,335.06,USA,Technology,Large Cap,Debt,17.52,69.69
Stock_2522,2266.7,Japan,Consumer Goods,Mid Cap,Debt Free,44.36,96.38
Stock_2523,4421.71,India,Technology,Large Cap,Debt Free,45.24,-25.07
Stock_2524,867.42,India,Healthcare,Large Cap,Debt Free,-21.43,38.82
Stock_2525,719.67,Japan,Healthcare,Mid Cap,Debt,-11.51,70.86
Stock_2526,1978.39,India,Finance,Mid Cap,Debt,1.33,-36.79
Stock_2527,4646.98,India,Healthcare,Mid Cap,Debt,22.08,-21.95
Stock_2528,3571.92,Japan,Consumer Goods,Large Cap,Debt,16.67,-2.63
Stock_2529,98.49,USA,Healthcare,Mid Cap,Debt,43.12,54.45
Stock_2530,3360.66,Japan,Healthcare,Large Cap,Debt,23.19,66.44
Stock_2531,387.6,Japan,Energy,Mid Cap,Debt Free,-18.79,3.95
Stock_2532,423.84,Japan,Technology,Mid Cap,Debt,40.98,65.81
Stock_2533,390.84,USA,Consumer Goods,Mid Cap,Debt,13.91,-12.73
Stock_2534,1333.71,Japan,Finance,Mid Cap,Debt,-22.68,10.05
Stock_2535,4841.76,Japan,Consumer Goods,Small Cap,Debt,39.16,-1.5
Stock_2536,1481.77,Japan,Consumer Goods,Large Cap,Debt,-14.81,-1.04
Stock_2537,4416.2,Japan,Energy,Small Cap,Debt Free,18.71,71.04
Stock_2538,1232.75,India,Healthcare,Large Cap,Debt,20.51,57.16
Stock_2539,2080.69,China,Technology,Large Cap,Debt,-6.53,31.16
Stock_2540,4387.33,USA,Technology,Small Cap,Debt Free,44.73,95.77
Stock_2541,3075.83,USA,Technology,Small Cap,Debt Free,48.29,2.7
Stock_2542,3155.34,China,Consumer Goods,Small Cap,Debt,10.8,79.94
Stock_2543,544.71,China,Finance,Small Cap,Debt Free,0.68,42.31
Stock_2544,1123.9,USA,Healthcare,Mid Cap,Debt,0.25,81.45
Stock_2545,2526.33,USA,Consumer Goods,Mid Cap,Debt,22.88,-22.49
Stock_2546,3842.81,USA,Energy,Mid Cap,Debt,21.99,-32.33
Stock_2547,3864.31,India,Technology,Small Cap,Debt,-5.9,61.11
Stock_2548,3076.96,China,Consumer Goods,Large Cap,Debt,-13.41,-24.15
Stock_2549,308.34,China,Healthcare,Mid Cap,Debt,-13.11,58.68
Stock_2550,1078.31,USA,Finance,Mid Cap,Debt Free,-18.06,96.16
Stock_2551,4821.43,Japan,Technology,Small Cap,Debt,25.12,48.15
Stock_2552,1192.53,India,Consumer Goods,Mid Cap,Debt,-23.5,89.28
Stock_2553,1984.2,India,Energy,Small Cap,Debt Free,-26.93,-18.91
Stock_2554,328.26,India,Healthcare,Mid Cap,Debt,-13.2,63.49
Stock_2555,3439.27,India,Energy,Mid Cap,Debt Free,16.43,35.55
Stock_2556,2022.13,Japan,Finance,Small Cap,Debt,23.48,29.84
Stock_2557,4567.89,Japan,Healthcare,Small Cap,Debt,39.1,-15.24
Stock_2558,2358.26,USA,Energy,Mid Cap,Debt,-6.16,99.28
Stock_2559,3795.1,Japan,Technology,Large Cap,Debt Free,1.27,45.94
Stock_2560,1799.6,USA,Technology,Mid Cap,Debt,0.47,-30.38
Stock_2561,3066.18,USA,Technology,Large Cap,Debt,44.67,10.46
Stock_2562,3844.53,USA,Technology,Large Cap,Debt Free,-12.2,19.37
Stock_2563,3840.01,China,Consumer Goods,Small Cap,Debt,-18.15,63.05
Stock_2564,739.91,India,Technology,Mid Cap,Debt,-17.99,9.45
Stock_2565,3407.76,USA,Healthcare,Mid Cap,Debt,34.65,-15.32
Stock_2566,4964.08,USA,Energy,Large Cap,Debt,23.35,21.61
Stock_2567,699.37,Japan,Finance,Mid Cap,Debt,44.77,88.12
Stock_2568,4196.53,USA,Healthcare,Mid Cap,Debt Free,-4.49,78.12
Stock_2569,4606.09,India,Energy,Mid Cap,Debt,44.1,95.64
Stock_2570,1186.44,Japan,Technology,Large Cap,Debt Free,2.89,-47.58
Stock_2571,428.32,China,Consumer Goods,Mid Cap,Debt,-12.74,-4.21
Stock_2572,2747.62,India,Healthcare,Large Cap,Debt,-21.6,23.11
Stock_2573,4705.66,Japan,Consumer Goods,Mid Cap,Debt,-2.42,90.24
Stock_2574,4463.17,Japan,Energy,Small Cap,Debt,-1.37,31.32
Stock_2575,4805.27,Japan,Energy,Large Cap,Debt,12.16,-46.85
Stock_2576,2999.13,Japan,Technology,Mid Cap,Debt Free,-9.51,91.57
Stock_2577,1746.07,India,Technology,Small Cap,Debt,37.12,49.7
Stock_2578,723.39,USA,Healthcare,Small Cap,Debt,-24.81,21.03
Stock_2579,3799.01,USA,Consumer Goods,Mid Cap,Debt Free,2.1,25.07
Stock_2580,143.74,Japan,Technology,Large Cap,Debt Free,38.28,-20.01
Stock_2581,3795.5,India,Technology,Large Cap,Debt,1.86,58.06
Stock_2582,2090.92,India,Consumer Goods,Large Cap,Debt Free,43.85,7.88
Stock_2583,2936.08,India,Consumer Goods,Small Cap,Debt,4.14,4.61
Stock_2584,2403.22,India,Technology,Large Cap,Debt,22.58,38.5
Stock_2585,4629.76,India,Consumer Goods,Mid Cap,Debt Free,-19.64,35.84
Stock_2586,1364.75,China,Consumer Goods,Mid Cap,Debt,3.79,-7.62
Stock_2587,2791.42,USA,Technology,Small Cap,Debt Free,7.55,88.62
Stock_2588,1324.92,USA,Healthcare,Large Cap,Debt,-21.14,75.08
Stock_2589,225.94,Japan,Finance,Large Cap,Debt Free,21.96,20.24
Stock_2590,921.7,India,Consumer Goods,Mid Cap,Debt,47.33,60.41
Stock_2591,4387.64,China,Technology,Mid Cap,Debt,28.7,-44.63
